fixture_id,grade,current_time,student_signature_class,issuer_signature_class,decision_trace_id,transition_sequence,final_classification,final_outcome,enabled_bindings_at_end,active_unfinished,retained_references,violated_properties
f05,80,100,valid,valid,f05_expire,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,0,0,11/11,
f06,80,100,valid,invalid,f06_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_DenyInvalidIssuerSignature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,0,0,11/11,
f07,80,100,invalid,valid,f07_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_DenyInvalidSignature,EXPECTED_FAILURE_TERMINATION,INVALID_SIGNATURE,0,0,11/11,
f07,80,100,invalid,valid,f07_cancel,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
f07,80,100,invalid,valid,f07_expire,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,0,0,11/11,
f08,80,100,invalid,invalid,f08_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_DenyInvalidIssuerSignature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,0,0,11/11,
f09,40,0,valid,valid,f09_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
f10,40,0,valid,invalid,f10_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
f11,40,0,invalid,valid,f11_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
f12,40,0,invalid,invalid,f12_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
f13,40,100,valid,valid,f13_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
f14,40,100,valid,invalid,f14_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
f15,40,100,invalid,valid,f15_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
f16,40,100,invalid,invalid,f16_auto,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
